model,word,layer,n_layers,stratum,representation,n,accuracy,accuracy_sd
llama-3-8b,hard,16,32,all,context,24,0.8833333333333332,0.1452966314513558
llama-3-8b,hard,16,32,all,target,24,0.65,0.13333333333333333
llama-3-8b,hard,16,32,all,combined,24,0.8166666666666668,0.1855921454276674
qwen2.5-7b,hard,14,28,all,context,24,0.8166666666666668,0.1855921454276674
qwen2.5-7b,hard,14,28,all,target,24,0.65,0.13333333333333333
qwen2.5-7b,hard,14,28,all,combined,24,0.8833333333333332,0.1452966314513558
llama-3-8b,industry,16,32,all,context,24,0.45,0.18708286933869708
llama-3-8b,industry,16,32,all,target,24,0.7166666666666667,0.19436506316151
llama-3-8b,industry,16,32,all,combined,24,0.65,0.13333333333333333
qwen2.5-7b,industry,14,28,all,context,24,0.36666666666666664,0.291547594742265
qwen2.5-7b,industry,14,28,all,target,24,0.6833333333333333,0.18559214542766742
qwen2.5-7b,industry,14,28,all,combined,24,0.6,0.1224744871391589
llama-3-8b,instead,16,32,all,context,24,0.5,0.0
llama-3-8b,instead,16,32,all,target,24,0.35,0.20682789409984761
llama-3-8b,instead,16,32,all,combined,24,0.3833333333333333,0.1
qwen2.5-7b,instead,14,28,all,context,24,0.4833333333333333,0.13333333333333333
qwen2.5-7b,instead,14,28,all,target,24,0.4666666666666666,0.17159383568311667
qwen2.5-7b,instead,14,28,all,combined,24,0.4666666666666666,0.06666666666666668
llama-3-8b,intensity,16,32,all,context,24,0.8333333333333334,0.09128709291752769
llama-3-8b,intensity,16,32,all,target,24,0.9166666666666667,0.10540925533894598
llama-3-8b,intensity,16,32,all,combined,24,0.9166666666666667,0.10540925533894598
qwen2.5-7b,intensity,14,28,all,context,24,0.8333333333333334,0.09128709291752769
qwen2.5-7b,intensity,14,28,all,target,24,0.9333333333333333,0.08164965809277258
qwen2.5-7b,intensity,14,28,all,combined,24,0.9333333333333333,0.08164965809277258
llama-3-8b,matter,16,32,all,context,24,0.5,0.15811388300841897
llama-3-8b,matter,16,32,all,target,24,0.38333333333333336,0.2768874620972692
llama-3-8b,matter,16,32,all,combined,24,0.36666666666666664,0.2505549396395485
qwen2.5-7b,matter,14,28,all,context,24,0.4833333333333333,0.27080128015453203
qwen2.5-7b,matter,14,28,all,target,24,0.2833333333333333,0.1632993161855452
qwen2.5-7b,matter,14,28,all,combined,24,0.41666666666666663,0.2472066162365221
llama-3-8b,mentioned,16,32,all,context,24,0.6666666666666666,0.18257418583505536
llama-3-8b,mentioned,16,32,all,target,24,0.8,0.11303883305208781
llama-3-8b,mentioned,16,32,all,combined,24,0.75,0.16666666666666669
qwen2.5-7b,mentioned,14,28,all,context,24,0.6166666666666667,0.1452966314513558
qwen2.5-7b,mentioned,14,28,all,target,24,0.7,0.11303883305208781
qwen2.5-7b,mentioned,14,28,all,combined,24,0.7666666666666667,0.16158932858054428
llama-3-8b,office,16,32,all,context,24,0.31666666666666665,0.09718253158075502
llama-3-8b,office,16,32,all,target,24,0.55,0.26666666666666666
llama-3-8b,office,16,32,all,combined,24,0.5,0.29344694769431684
qwen2.5-7b,office,14,28,all,context,24,0.41666666666666663,0.10540925533894598
qwen2.5-7b,office,14,28,all,target,24,0.6,0.27588242262078083
qwen2.5-7b,office,14,28,all,combined,24,0.55,0.26666666666666666
llama-3-8b,part,16,32,all,context,24,0.4666666666666666,0.06666666666666668
llama-3-8b,part,16,32,all,target,24,0.3,0.11303883305208781
llama-3-8b,part,16,32,all,combined,24,0.3333333333333333,0.09128709291752768
qwen2.5-7b,part,14,28,all,context,24,0.45,0.14529663145135577
qwen2.5-7b,part,14,28,all,target,24,0.6333333333333334,0.291547594742265
qwen2.5-7b,part,14,28,all,combined,24,0.5333333333333333,0.17159383568311665
llama-3-8b,party,16,32,all,context,24,0.9,0.13333333333333336
llama-3-8b,party,16,32,all,target,24,0.9333333333333333,0.08164965809277258
llama-3-8b,party,16,32,all,combined,24,0.9333333333333333,0.08164965809277258
qwen2.5-7b,party,14,28,all,context,24,0.9333333333333333,0.08164965809277258
qwen2.5-7b,party,14,28,all,target,24,0.9666666666666668,0.06666666666666667
qwen2.5-7b,party,14,28,all,combined,24,0.9666666666666668,0.06666666666666667
llama-3-8b,passed,16,32,all,context,24,0.8833333333333332,0.1452966314513558
llama-3-8b,passed,16,32,all,target,24,1.0,0.0
llama-3-8b,passed,16,32,all,combined,24,1.0,0.0
qwen2.5-7b,passed,14,28,all,context,24,0.9333333333333332,0.13333333333333336
qwen2.5-7b,passed,14,28,all,target,24,1.0,0.0
qwen2.5-7b,passed,14,28,all,combined,24,0.9333333333333332,0.13333333333333336
llama-3-8b,prevent,16,32,all,context,24,0.4666666666666667,0.2147349787787521
llama-3-8b,prevent,16,32,all,target,24,0.4,0.16158932858054428
llama-3-8b,prevent,16,32,all,combined,24,0.41666666666666663,0.10540925533894598
qwen2.5-7b,prevent,14,28,all,context,24,0.2333333333333333,0.16158932858054434
qwen2.5-7b,prevent,14,28,all,target,24,0.45,0.14529663145135577
qwen2.5-7b,prevent,14,28,all,combined,24,0.2833333333333333,0.19436506316151
llama-3-8b,quality,16,32,all,context,24,0.5833333333333333,0.33333333333333337
llama-3-8b,quality,16,32,all,target,24,0.65,0.1224744871391589
llama-3-8b,quality,16,32,all,combined,24,0.65,0.1224744871391589
qwen2.5-7b,quality,14,28,all,context,24,0.6,0.25495097567963926
qwen2.5-7b,quality,14,28,all,target,24,0.7666666666666667,0.1615893285805443
qwen2.5-7b,quality,14,28,all,combined,24,0.6333333333333333,0.2505549396395485
llama-3-8b,remember,16,32,all,context,24,0.5,0.19002923751652298
llama-3-8b,remember,16,32,all,target,24,0.6666666666666666,0.18257418583505536
llama-3-8b,remember,16,32,all,combined,24,0.7166666666666666,0.16329931618554522
qwen2.5-7b,remember,14,28,all,context,24,0.5166666666666666,0.2603416558635551
qwen2.5-7b,remember,14,28,all,target,24,0.65,0.2603416558635552
qwen2.5-7b,remember,14,28,all,combined,24,0.75,0.16666666666666669
llama-3-8b,sample,16,32,all,context,24,0.7,0.26666666666666666
llama-3-8b,sample,16,32,all,target,24,0.6833333333333333,0.09718253158075502
llama-3-8b,sample,16,32,all,combined,24,0.7166666666666667,0.19436506316151
qwen2.5-7b,sample,14,28,all,context,24,0.7666666666666666,0.2
qwen2.5-7b,sample,14,28,all,target,24,0.7333333333333334,0.12247448713915891
qwen2.5-7b,sample,14,28,all,combined,24,0.7833333333333333,0.19436506316151003
llama-3-8b,sent,16,32,all,context,24,0.6166666666666667,0.1452966314513558
llama-3-8b,sent,16,32,all,target,24,0.7666666666666667,0.16158932858054428
llama-3-8b,sent,16,32,all,combined,24,0.7333333333333333,0.2260776661041756
qwen2.5-7b,sent,14,28,all,context,24,0.6166666666666667,0.1452966314513558
qwen2.5-7b,sent,14,28,all,target,24,0.7,0.2505549396395485
qwen2.5-7b,sent,14,28,all,combined,24,0.7333333333333333,0.2260776661041756
llama-3-8b,space,16,32,all,context,24,0.5166666666666666,0.2603416558635552
llama-3-8b,space,16,32,all,target,24,0.6833333333333333,0.1855921454276674
llama-3-8b,space,16,32,all,combined,24,0.55,0.1452966314513558
qwen2.5-7b,space,14,28,all,context,24,0.5166666666666666,0.2603416558635552
qwen2.5-7b,space,14,28,all,target,24,0.6833333333333333,0.1855921454276674
qwen2.5-7b,space,14,28,all,combined,24,0.4666666666666666,0.17159383568311667
llama-3-8b,success,16,32,all,context,24,0.75,0.16666666666666669
llama-3-8b,success,16,32,all,target,24,0.6833333333333333,0.1855921454276674
llama-3-8b,success,16,32,all,combined,24,0.7166666666666666,0.16329931618554522
qwen2.5-7b,success,14,28,all,context,24,0.75,0.16666666666666669
qwen2.5-7b,success,14,28,all,target,24,0.5833333333333333,0.33333333333333337
qwen2.5-7b,success,14,28,all,combined,24,0.7166666666666666,0.16329931618554522
llama-3-8b,treated,16,32,all,context,24,0.8,0.11303883305208781
llama-3-8b,treated,16,32,all,target,24,0.9333333333333332,0.13333333333333336
llama-3-8b,treated,16,32,all,combined,24,0.8833333333333332,0.1452966314513558
qwen2.5-7b,treated,14,28,all,context,24,0.7833333333333333,0.19436506316151003
qwen2.5-7b,treated,14,28,all,target,24,0.9333333333333332,0.13333333333333336
qwen2.5-7b,treated,14,28,all,combined,24,0.8833333333333332,0.1452966314513558
llama-3-8b,work,16,32,all,context,24,0.45,0.14529663145135577
llama-3-8b,work,16,32,all,target,24,0.95,0.09999999999999999
llama-3-8b,work,16,32,all,combined,24,0.9166666666666667,0.10540925533894598
qwen2.5-7b,work,14,28,all,context,24,0.4,0.1224744871391589
qwen2.5-7b,work,14,28,all,target,24,0.7666666666666667,0.16158932858054428
qwen2.5-7b,work,14,28,all,combined,24,0.6666666666666666,0.09128709291752769
llama-3-8b,avoid,16,32,all,context,22,0.5666666666666667,0.20682789409984764
llama-3-8b,avoid,16,32,all,target,22,0.65,0.25495097567963926
llama-3-8b,avoid,16,32,all,combined,22,0.55,0.18708286933869706
qwen2.5-7b,avoid,14,28,all,context,22,0.5333333333333333,0.06666666666666667
qwen2.5-7b,avoid,14,28,all,target,22,0.5333333333333334,0.31001792062897127
qwen2.5-7b,avoid,14,28,all,combined,22,0.4333333333333333,0.2603416558635552
llama-3-8b,captain,16,32,all,context,22,0.6166666666666666,0.23333333333333334
llama-3-8b,captain,16,32,all,target,22,0.5333333333333333,0.17159383568311665
llama-3-8b,captain,16,32,all,combined,22,0.6833333333333333,0.1855921454276674
qwen2.5-7b,captain,14,28,all,context,22,0.55,0.18708286933869706
qwen2.5-7b,captain,14,28,all,target,22,0.5,0.15811388300841897
qwen2.5-7b,captain,14,28,all,combined,22,0.65,0.2
llama-3-8b,caused,16,32,all,context,22,0.4,0.25495097567963926
llama-3-8b,caused,16,32,all,target,22,0.4333333333333333,0.35512126254437526
llama-3-8b,caused,16,32,all,combined,22,0.4,0.3391164991562634
qwen2.5-7b,caused,14,28,all,context,22,0.5,0.15811388300841897
qwen2.5-7b,caused,14,28,all,target,22,0.35,0.25495097567963926
qwen2.5-7b,caused,14,28,all,combined,22,0.31666666666666665,0.2438123139721299
llama-3-8b,character,16,32,all,context,22,0.6333333333333333,0.19436506316151003
llama-3-8b,character,16,32,all,target,22,0.7333333333333333,0.16158932858054428
llama-3-8b,character,16,32,all,combined,22,0.7333333333333333,0.16158932858054428
qwen2.5-7b,character,14,28,all,context,22,0.6166666666666667,0.2147349787787521
qwen2.5-7b,character,14,28,all,target,22,0.7833333333333333,0.11303883305208781
qwen2.5-7b,character,14,28,all,combined,22,0.6333333333333333,0.1130388330520878
llama-3-8b,company,16,32,all,context,22,0.8666666666666668,0.1130388330520878
llama-3-8b,company,16,32,all,target,22,0.9166666666666667,0.10540925533894598
llama-3-8b,company,16,32,all,combined,22,0.8666666666666668,0.1130388330520878
qwen2.5-7b,company,14,28,all,context,22,0.8666666666666668,0.1130388330520878
qwen2.5-7b,company,14,28,all,target,22,0.9166666666666667,0.10540925533894598
qwen2.5-7b,company,14,28,all,combined,22,0.8666666666666668,0.1130388330520878
llama-3-8b,covered,16,32,all,context,22,0.4333333333333333,0.20682789409984761
llama-3-8b,covered,16,32,all,target,22,0.5666666666666667,0.27588242262078083
llama-3-8b,covered,16,32,all,combined,22,0.4833333333333333,0.2438123139721299
qwen2.5-7b,covered,14,28,all,context,22,0.4333333333333333,0.20682789409984761
qwen2.5-7b,covered,14,28,all,target,22,0.65,0.25495097567963926
qwen2.5-7b,covered,14,28,all,combined,22,0.5666666666666667,0.27588242262078083
llama-3-8b,declared,16,32,all,context,22,0.8666666666666668,0.1130388330520878
llama-3-8b,declared,16,32,all,target,22,0.8,0.2449489742783178
llama-3-8b,declared,16,32,all,combined,22,0.85,0.2
qwen2.5-7b,declared,14,28,all,context,22,0.8666666666666668,0.1130388330520878
qwen2.5-7b,declared,14,28,all,target,22,0.6333333333333333,0.19436506316151003
qwen2.5-7b,declared,14,28,all,combined,22,0.7666666666666667,0.1615893285805443
llama-3-8b,deny,16,32,all,context,22,0.5666666666666667,0.20682789409984761
llama-3-8b,deny,16,32,all,target,22,0.4333333333333333,0.2260776661041756
llama-3-8b,deny,16,32,all,combined,22,0.4,0.20000000000000004
qwen2.5-7b,deny,14,28,all,context,22,0.4166666666666667,0.27888667551135854
qwen2.5-7b,deny,14,28,all,target,22,0.5333333333333333,0.17159383568311667
qwen2.5-7b,deny,14,28,all,combined,22,0.4,0.25495097567963926
llama-3-8b,discussed,16,32,all,context,22,0.5333333333333333,0.2666666666666667
llama-3-8b,discussed,16,32,all,target,22,0.3833333333333333,0.31001792062897127
llama-3-8b,discussed,16,32,all,combined,22,0.4333333333333333,0.3045944480416178
qwen2.5-7b,discussed,14,28,all,context,22,0.5666666666666667,0.2260776661041756
qwen2.5-7b,discussed,14,28,all,target,22,0.41666666666666663,0.2472066162365221
qwen2.5-7b,discussed,14,28,all,combined,22,0.4666666666666666,0.2818589087547961
llama-3-8b,example,16,32,all,context,22,0.65,0.1224744871391589
llama-3-8b,example,16,32,all,target,22,0.31666666666666665,0.1855921454276674
llama-3-8b,example,16,32,all,combined,22,0.45,0.24494897427831783
qwen2.5-7b,example,14,28,all,context,22,0.65,0.1224744871391589
qwen2.5-7b,example,14,28,all,target,22,0.31666666666666665,0.1855921454276674
qwen2.5-7b,example,14,28,all,combined,22,0.5,0.27386127875258304
llama-3-8b,feed,16,32,all,context,22,0.85,0.2
llama-3-8b,feed,16,32,all,target,22,0.8166666666666668,0.1855921454276674
llama-3-8b,feed,16,32,all,combined,22,0.85,0.2
qwen2.5-7b,feed,14,28,all,context,22,0.8,0.18708286933869706
qwen2.5-7b,feed,14,28,all,target,22,0.9,0.2
qwen2.5-7b,feed,14,28,all,combined,22,0.9,0.2
llama-3-8b,followed,16,32,all,context,22,0.7833333333333333,0.1130388330520878
llama-3-8b,followed,16,32,all,target,22,0.7833333333333333,0.1130388330520878
llama-3-8b,followed,16,32,all,combined,22,0.8166666666666668,0.09718253158075502
qwen2.5-7b,followed,14,28,all,context,22,0.7333333333333333,0.16158932858054428
qwen2.5-7b,followed,14,28,all,target,22,0.8166666666666668,0.09718253158075502
qwen2.5-7b,followed,14,28,all,combined,22,0.8166666666666668,0.09718253158075502
llama-3-8b,gas,16,32,all,context,22,0.7666666666666666,0.2438123139721299
llama-3-8b,gas,16,32,all,target,22,0.7666666666666666,0.2438123139721299
llama-3-8b,gas,16,32,all,combined,22,0.7666666666666666,0.2438123139721299
qwen2.5-7b,gas,14,28,all,context,22,0.8,0.18708286933869706
qwen2.5-7b,gas,14,28,all,target,22,0.7166666666666666,0.2147349787787521
qwen2.5-7b,gas,14,28,all,combined,22,0.7666666666666666,0.2438123139721299
llama-3-8b,god,16,32,all,context,22,0.5833333333333333,0.10540925533894598
llama-3-8b,god,16,32,all,target,22,0.8166666666666668,0.09718253158075502
llama-3-8b,god,16,32,all,combined,22,0.7166666666666667,0.1130388330520878
qwen2.5-7b,god,14,28,all,context,22,0.5,0.15811388300841897
qwen2.5-7b,god,14,28,all,target,22,0.8666666666666668,0.1130388330520878
qwen2.5-7b,god,14,28,all,combined,22,0.6666666666666667,0.13944333775567927
llama-3-8b,hour,16,32,all,context,22,0.55,0.18708286933869706
llama-3-8b,hour,16,32,all,target,22,0.9166666666666667,0.10540925533894598
llama-3-8b,hour,16,32,all,combined,22,0.9166666666666667,0.10540925533894598
qwen2.5-7b,hour,14,28,all,context,22,0.65,0.1224744871391589
qwen2.5-7b,hour,14,28,all,target,22,0.9166666666666667,0.10540925533894598
qwen2.5-7b,hour,14,28,all,combined,22,0.8666666666666668,0.1130388330520878
llama-3-8b,military,16,32,all,context,22,0.7333333333333333,0.1615893285805443
llama-3-8b,military,16,32,all,target,22,0.5,0.15811388300841897
llama-3-8b,military,16,32,all,combined,22,0.6333333333333333,0.1130388330520878
qwen2.5-7b,military,14,28,all,context,22,0.6333333333333333,0.1130388330520878
qwen2.5-7b,military,14,28,all,target,22,0.3333333333333333,0.13944333775567927
qwen2.5-7b,military,14,28,all,combined,22,0.5333333333333333,0.17159383568311665
llama-3-8b,particles,16,32,all,context,22,0.9666666666666668,0.06666666666666667
llama-3-8b,particles,16,32,all,target,22,0.9166666666666667,0.10540925533894598
llama-3-8b,particles,16,32,all,combined,22,1.0,0.0
qwen2.5-7b,particles,14,28,all,context,22,0.9166666666666667,0.10540925533894598
qwen2.5-7b,particles,14,28,all,target,22,0.9166666666666667,0.10540925533894598
qwen2.5-7b,particles,14,28,all,combined,22,1.0,0.0
llama-3-8b,pattern,16,32,all,context,22,0.36666666666666664,0.2505549396395485
llama-3-8b,pattern,16,32,all,target,22,0.55,0.09999999999999999
llama-3-8b,pattern,16,32,all,combined,22,0.45,0.24494897427831783
qwen2.5-7b,pattern,14,28,all,context,22,0.45,0.18708286933869708
qwen2.5-7b,pattern,14,28,all,target,22,0.5,0.15811388300841897
qwen2.5-7b,pattern,14,28,all,combined,22,0.45,0.18708286933869708
llama-3-8b,political,16,32,all,context,22,0.55,0.09999999999999999
llama-3-8b,political,16,32,all,target,22,0.36666666666666664,0.3358240279934981
llama-3-8b,political,16,32,all,combined,22,0.41666666666666663,0.19002923751652298
qwen2.5-7b,political,14,28,all,context,22,0.2833333333333333,0.1130388330520878
qwen2.5-7b,political,14,28,all,target,22,0.4666666666666666,0.2818589087547961
qwen2.5-7b,political,14,28,all,combined,22,0.3333333333333333,0.13944333775567927
llama-3-8b,power,16,32,all,context,22,0.8666666666666668,0.1130388330520878
llama-3-8b,power,16,32,all,target,22,0.9,0.1224744871391589
llama-3-8b,power,16,32,all,combined,22,0.9,0.1224744871391589
qwen2.5-7b,power,14,28,all,context,22,0.7833333333333333,0.1130388330520878
qwen2.5-7b,power,14,28,all,target,22,0.8333333333333333,0.13944333775567927
qwen2.5-7b,power,14,28,all,combined,22,0.8333333333333333,0.13944333775567927
llama-3-8b,problem,16,32,all,context,22,0.7,0.18708286933869706
llama-3-8b,problem,16,32,all,target,22,0.55,0.2449489742783178
llama-3-8b,problem,16,32,all,combined,22,0.55,0.2449489742783178
qwen2.5-7b,problem,14,28,all,context,22,0.7666666666666667,0.1615893285805443
qwen2.5-7b,problem,14,28,all,target,22,0.6333333333333333,0.19436506316151003
qwen2.5-7b,problem,14,28,all,combined,22,0.65,0.2
llama-3-8b,products,16,32,all,context,22,0.5833333333333333,0.10540925533894598
llama-3-8b,products,16,32,all,target,22,0.7666666666666667,0.2758824226207808
llama-3-8b,products,16,32,all,combined,22,0.6333333333333333,0.2505549396395485
qwen2.5-7b,products,14,28,all,context,22,0.6333333333333333,0.1130388330520878
qwen2.5-7b,products,14,28,all,target,22,0.7666666666666667,0.2758824226207808
qwen2.5-7b,products,14,28,all,combined,22,0.75,0.22360679774997896
llama-3-8b,question,16,32,all,context,22,0.6,0.2
llama-3-8b,question,16,32,all,target,22,0.45,0.18708286933869708
llama-3-8b,question,16,32,all,combined,22,0.6333333333333333,0.2505549396395485
qwen2.5-7b,question,14,28,all,context,22,0.6833333333333333,0.18559214542766742
qwen2.5-7b,question,14,28,all,target,22,0.5833333333333333,0.19002923751652298
qwen2.5-7b,question,14,28,all,combined,22,0.7333333333333333,0.2260776661041756
llama-3-8b,radiation,16,32,all,context,22,0.8,0.18708286933869706
llama-3-8b,radiation,16,32,all,target,22,0.7666666666666667,0.16158932858054428
llama-3-8b,radiation,16,32,all,combined,22,0.85,0.2
qwen2.5-7b,radiation,14,28,all,context,22,0.8,0.18708286933869706
qwen2.5-7b,radiation,14,28,all,target,22,0.6666666666666667,0.13944333775567927
qwen2.5-7b,radiation,14,28,all,combined,22,0.8,0.18708286933869706
llama-3-8b,reached,16,32,all,context,22,0.6833333333333333,0.09718253158075502
llama-3-8b,reached,16,32,all,target,22,0.7666666666666667,0.2758824226207808
llama-3-8b,reached,16,32,all,combined,22,0.75,0.27386127875258304
qwen2.5-7b,reached,14,28,all,context,22,0.5333333333333333,0.17159383568311665
qwen2.5-7b,reached,14,28,all,target,22,0.7333333333333333,0.1615893285805443
qwen2.5-7b,reached,14,28,all,combined,22,0.6,0.2
llama-3-8b,real,16,32,all,context,22,0.6,0.1224744871391589
llama-3-8b,real,16,32,all,target,22,0.5333333333333333,0.17159383568311667
llama-3-8b,real,16,32,all,combined,22,0.5833333333333333,0.10540925533894598
qwen2.5-7b,real,14,28,all,context,22,0.45,0.18708286933869708
qwen2.5-7b,real,14,28,all,target,22,0.6333333333333333,0.1130388330520878
qwen2.5-7b,real,14,28,all,combined,22,0.4833333333333333,0.13333333333333333
llama-3-8b,sales,16,32,all,context,22,0.8666666666666668,0.1130388330520878
llama-3-8b,sales,16,32,all,target,22,0.9,0.1224744871391589
llama-3-8b,sales,16,32,all,combined,22,0.8666666666666668,0.1130388330520878
qwen2.5-7b,sales,14,28,all,context,22,0.8666666666666668,0.19436506316151
qwen2.5-7b,sales,14,28,all,target,22,0.8,0.18708286933869706
qwen2.5-7b,sales,14,28,all,combined,22,0.7666666666666667,0.2758824226207808
llama-3-8b,scientific,16,32,all,context,22,0.7333333333333333,0.16158932858054428
llama-3-8b,scientific,16,32,all,target,22,0.6833333333333333,0.3666666666666667
llama-3-8b,scientific,16,32,all,combined,22,0.8333333333333333,0.13944333775567927
qwen2.5-7b,scientific,14,28,all,context,22,0.7833333333333333,0.19436506316151
qwen2.5-7b,scientific,14,28,all,target,22,0.8333333333333333,0.21081851067789195
qwen2.5-7b,scientific,14,28,all,combined,22,0.8666666666666668,0.19436506316151
llama-3-8b,short,16,32,all,context,22,0.65,0.1224744871391589
llama-3-8b,short,16,32,all,target,22,0.7333333333333333,0.1615893285805443
llama-3-8b,short,16,32,all,combined,22,0.8,0.18708286933869706
qwen2.5-7b,short,14,28,all,context,22,0.6166666666666666,0.17159383568311667
qwen2.5-7b,short,14,28,all,target,22,0.6,0.2
qwen2.5-7b,short,14,28,all,combined,22,0.6166666666666666,0.17159383568311667
llama-3-8b,supply,16,32,all,context,22,0.5166666666666666,0.2603416558635552
llama-3-8b,supply,16,32,all,target,22,1.0,0.0
llama-3-8b,supply,16,32,all,combined,22,0.9,0.20000000000000004
qwen2.5-7b,supply,14,28,all,context,22,0.4666666666666666,0.1715938356831167
qwen2.5-7b,supply,14,28,all,target,22,0.9,0.20000000000000004
qwen2.5-7b,supply,14,28,all,combined,22,0.7666666666666667,0.2758824226207808
llama-3-8b,sure,16,32,all,context,22,0.8166666666666668,0.1855921454276674
llama-3-8b,sure,16,32,all,target,22,0.95,0.09999999999999999
llama-3-8b,sure,16,32,all,combined,22,0.9,0.2
qwen2.5-7b,sure,14,28,all,context,22,0.8166666666666668,0.1855921454276674
qwen2.5-7b,sure,14,28,all,target,22,0.85,0.2
qwen2.5-7b,sure,14,28,all,combined,22,0.9,0.2
llama-3-8b,task,16,32,all,context,22,0.7666666666666667,0.1615893285805443
llama-3-8b,task,16,32,all,target,22,0.7166666666666667,0.19436506316151003
llama-3-8b,task,16,32,all,combined,22,0.6666666666666667,0.21081851067789195
qwen2.5-7b,task,14,28,all,context,22,0.7166666666666667,0.19436506316151003
qwen2.5-7b,task,14,28,all,target,22,0.6166666666666667,0.1452966314513558
qwen2.5-7b,task,14,28,all,combined,22,0.7166666666666667,0.19436506316151003
llama-3-8b,theory,16,32,all,context,22,0.5666666666666667,0.27588242262078083
llama-3-8b,theory,16,32,all,target,22,0.31666666666666665,0.2438123139721299
llama-3-8b,theory,16,32,all,combined,22,0.45,0.1
qwen2.5-7b,theory,14,28,all,context,22,0.41666666666666663,0.33333333333333337
qwen2.5-7b,theory,14,28,all,target,22,0.4833333333333333,0.3045944480416177
qwen2.5-7b,theory,14,28,all,combined,22,0.41666666666666663,0.19002923751652298
llama-3-8b,thin,16,32,all,context,22,0.9333333333333332,0.13333333333333336
llama-3-8b,thin,16,32,all,target,22,0.85,0.2
llama-3-8b,thin,16,32,all,combined,22,0.8666666666666668,0.1130388330520878
qwen2.5-7b,thin,14,28,all,context,22,0.9166666666666667,0.10540925533894598
qwen2.5-7b,thin,14,28,all,target,22,0.9,0.1224744871391589
qwen2.5-7b,thin,14,28,all,combined,22,0.8666666666666668,0.1130388330520878
llama-3-8b,trade,16,32,all,context,22,0.7666666666666666,0.2438123139721299
llama-3-8b,trade,16,32,all,target,22,0.8333333333333333,0.13944333775567927
llama-3-8b,trade,16,32,all,combined,22,0.8833333333333332,0.1452966314513558
qwen2.5-7b,trade,14,28,all,context,22,0.8,0.18708286933869706
qwen2.5-7b,trade,14,28,all,target,22,0.8333333333333333,0.13944333775567927
qwen2.5-7b,trade,14,28,all,combined,22,0.8833333333333332,0.1452966314513558
llama-3-8b,very,16,32,all,context,22,0.4833333333333333,0.18559214542766742
llama-3-8b,very,16,32,all,target,22,0.3833333333333333,0.2147349787787521
llama-3-8b,very,16,32,all,combined,22,0.3833333333333333,0.1452966314513558
qwen2.5-7b,very,14,28,all,context,22,0.4333333333333333,0.13333333333333333
qwen2.5-7b,very,14,28,all,target,22,0.3833333333333333,0.1452966314513558
qwen2.5-7b,very,14,28,all,combined,22,0.4333333333333333,0.20682789409984761
llama-3-8b,appreciate,16,32,all,context,20,0.8,0.2449489742783178
llama-3-8b,appreciate,16,32,all,target,20,0.9,0.2
llama-3-8b,appreciate,16,32,all,combined,20,0.9,0.2
qwen2.5-7b,appreciate,14,28,all,context,20,0.75,0.22360679774997896
qwen2.5-7b,appreciate,14,28,all,target,20,0.9,0.2
qwen2.5-7b,appreciate,14,28,all,combined,20,0.95,0.09999999999999999
llama-3-8b,argument,16,32,all,context,20,0.95,0.09999999999999999
llama-3-8b,argument,16,32,all,target,20,0.9,0.1224744871391589
llama-3-8b,argument,16,32,all,combined,20,1.0,0.0
qwen2.5-7b,argument,14,28,all,context,20,0.85,0.1224744871391589
qwen2.5-7b,argument,14,28,all,target,20,0.95,0.09999999999999999
qwen2.5-7b,argument,14,28,all,combined,20,1.0,0.0
llama-3-8b,believe,16,32,all,context,20,0.65,0.2
llama-3-8b,believe,16,32,all,target,20,0.6,0.1224744871391589
llama-3-8b,believe,16,32,all,combined,20,0.6,0.1224744871391589
qwen2.5-7b,believe,14,28,all,context,20,0.5,0.27386127875258304
qwen2.5-7b,believe,14,28,all,target,20,0.5,0.15811388300841897
qwen2.5-7b,believe,14,28,all,combined,20,0.6,0.25495097567963926
llama-3-8b,brought,16,32,all,context,20,0.7,0.18708286933869706
llama-3-8b,brought,16,32,all,target,20,0.55,0.09999999999999999
llama-3-8b,brought,16,32,all,combined,20,0.55,0.09999999999999999
qwen2.5-7b,brought,14,28,all,context,20,0.75,0.22360679774997896
qwen2.5-7b,brought,14,28,all,target,20,0.75,0.0
qwen2.5-7b,brought,14,28,all,combined,20,0.65,0.1224744871391589
llama-3-8b,cells,16,32,all,context,20,0.8,0.18708286933869706
llama-3-8b,cells,16,32,all,target,20,0.8,0.18708286933869706
llama-3-8b,cells,16,32,all,combined,20,0.85,0.1224744871391589
qwen2.5-7b,cells,14,28,all,context,20,0.75,0.15811388300841897
qwen2.5-7b,cells,14,28,all,target,20,0.9,0.1224744871391589
qwen2.5-7b,cells,14,28,all,combined,20,0.75,0.15811388300841897
llama-3-8b,children,16,32,all,context,20,0.95,0.09999999999999999
llama-3-8b,children,16,32,all,target,20,1.0,0.0
llama-3-8b,children,16,32,all,combined,20,1.0,0.0
qwen2.5-7b,children,14,28,all,context,20,0.9,0.20000000000000004
qwen2.5-7b,children,14,28,all,target,20,1.0,0.0
qwen2.5-7b,children,14,28,all,combined,20,0.95,0.09999999999999999
llama-3-8b,contrast,16,32,all,context,20,0.5,0.15811388300841897
llama-3-8b,contrast,16,32,all,target,20,0.55,0.09999999999999999
llama-3-8b,contrast,16,32,all,combined,20,0.6,0.2
qwen2.5-7b,contrast,14,28,all,context,20,0.6,0.2
